hs_no,group,mnemonic_hs,mnemonic_old,description_hs,tcode_hs,lag_months_hs,vintage_flag_hs,construction_type,target_series_id,component_series_ids,raw_formula,pub_lag_mode,pub_lag_months,pub_lag_schedule_json,release_rule,revision_class,strict_source_rule,balanced_source_rule,notes
93,0,BAAFFM,BAAFFM,BAAFFM,1,0,Y,direct_alfred,BAAFFM,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
94,0,TWEXAFEGSMTHx,TWEXAFEGSMTHx,TWEXAFEGSMTHx,5,0,Y,direct_alfred,TWEXAFEGSMTH,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
95,0,EXSZUSx,EXSZUSx,EXSZUSx,5,0,Y,direct_alfred,EXSZUS,[],,fixed,1,,same_month_end,market_effectively_nonrevised,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
96,0,EXJPUSx,EXJPUSx,EXJPUSx,5,0,Y,direct_alfred,EXJPUS,[],,fixed,1,,same_month_end,market_effectively_nonrevised,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
97,0,EXUSUKx,EXUSUKx,EXUSUKx,5,0,Y,direct_alfred,EXUSUK,[],,fixed,1,,same_month_end,market_effectively_nonrevised,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
98,0,EXCAUSx,EXCAUSx,EXCAUSx,5,0,Y,direct_alfred,EXCAUS,[],,fixed,1,,same_month_end,market_effectively_nonrevised,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
99,0,WPSFD49207,WPSFD49207,WPSFD49207,6,0,Y,direct_alfred,WPSFD49207,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
100,0,WPSFD49502,WPSFD49502,WPSFD49502,6,0,Y,direct_alfred,WPSFD49502,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
101,0,WPSID61,WPSID61,WPSID61,6,0,Y,direct_alfred,WPSID61,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
102,0,WPSID62,WPSID62,WPSID62,6,0,Y,direct_alfred,WPSID62,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
103,0,OILPRICEx,OILPRICEx,OILPRICEx,6,0,Y,direct_alfred,OILPRICE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
104,0,PPICMM,PPICMM,PPICMM,6,0,Y,direct_alfred,PPICMM,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
105,0,CPIAUCSL,CPIAUCSL,CPIAUCSL,6,0,Y,direct_alfred,CPIAUCSL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
106,0,CPIAPPSL,CPIAPPSL,CPIAPPSL,6,0,Y,direct_alfred,CPIAPPSL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
107,0,CPITRNSL,CPITRNSL,CPITRNSL,6,0,Y,direct_alfred,CPITRNSL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
108,0,CPIMEDSL,CPIMEDSL,CPIMEDSL,6,0,Y,direct_alfred,CPIMEDSL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
109,0,CUSR0000SAC,CUSR0000SAC,CUSR0000SAC,6,0,Y,direct_alfred,CUSR0000SAC,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
110,0,CUSR0000SAD,CUSR0000SAD,CUSR0000SAD,6,0,Y,direct_alfred,CUSR0000SAD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
111,0,CUSR0000SAS,CUSR0000SAS,CUSR0000SAS,6,0,Y,direct_alfred,CUSR0000SAS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
112,0,CPIULFSL,CPIULFSL,CPIULFSL,6,0,Y,direct_alfred,CPIULFSL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
113,0,CUSR0000SA0L2,CUSR0000SA0L2,CUSR0000SA0L2,6,0,Y,direct_alfred,CUSR0000SA0L2,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
114,0,CUSR0000SA0L5,CUSR0000SA0L5,CUSR0000SA0L5,6,0,Y,direct_alfred,CUSR0000SA0L5,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
115,0,PCEPI,PCEPI,PCEPI,6,0,Y,direct_alfred,PCEPI,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
116,0,DDURRG3M086SBEA,DDURRG3M086SBEA,DDURRG3M086SBEA,6,0,Y,direct_alfred,DDURRG3M086SBEA,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
117,0,DNDGRG3M086SBEA,DNDGRG3M086SBEA,DNDGRG3M086SBEA,6,0,Y,direct_alfred,DNDGRG3M086SBEA,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
118,0,DSERRG3M086SBEA,DSERRG3M086SBEA,DSERRG3M086SBEA,6,0,Y,direct_alfred,DSERRG3M086SBEA,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
119,0,CES0600000008,CES0600000008,CES0600000008,6,0,Y,direct_alfred,CES0600000008,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
120,0,CES2000000008,CES2000000008,CES2000000008,6,0,Y,direct_alfred,CES2000000008,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
121,0,CES3000000008,CES3000000008,CES3000000008,6,0,Y,direct_alfred,CES3000000008,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
122,0,UMCSENTx,UMCSENTx,UMCSENTx,2,0,Y,direct_alfred,UMCSENT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
123,0,DTCOLNVHFNM,DTCOLNVHFNM,DTCOLNVHFNM,6,0,Y,direct_alfred,DTCOLNVHFNM,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
124,0,DTCTHFNM,DTCTHFNM,DTCTHFNM,6,0,Y,direct_alfred,DTCTHFNM,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
125,0,INVEST,INVEST,INVEST,6,0,Y,direct_alfred,INVEST,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
126,0,VIXCLSx,VIXCLSx,VIXCLSx,1,0,Y,direct_alfred,VIXCLS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
