maturity,model,gap,r2,pval,macro_gain
24,XGB (Fwd),0,0.5374765866107207,1.4897728566332091e-05,0.08640814627726079
24,XGB (Macro+Fwd),0,0.6238847328879815,9.510242534815916e-06,0.08640814627726079
24,RW,0,0.9274681658223873,3.4763687525307674e-06,0.08640814627726079
24,XGB (Fwd),1,0.35002476557961715,5.017247969019145e-05,0.1646101320860076
24,XGB (Macro+Fwd),1,0.5146348976656248,2.4649807768839516e-05,0.1646101320860076
24,RW,1,0.8259084294976896,6.5551494722315695e-06,0.1646101320860076
24,XGB (Fwd),2,0.23004879031505043,0.00011468789145863134,0.20108499669021107
24,XGB (Macro+Fwd),2,0.4311337870052615,4.858759747294883e-05,0.20108499669021107
24,RW,2,0.7166812145522589,1.2213502696756251e-05,0.20108499669021107
24,XGB (Fwd),3,0.1562656280759741,0.0001892278301165451,0.18709050844557118
24,XGB (Macro+Fwd),3,0.3433561365215453,7.607469113868337e-05,0.18709050844557118
24,RW,3,0.615614423443122,1.965489463029435e-05,0.18709050844557118
24,XGB (Fwd),4,0.09212287920449858,0.0005310829875159184,0.17634982604074945
24,XGB (Macro+Fwd),4,0.268472705245248,0.00015070121279148196,0.17634982604074945
24,RW,4,0.5318219411580886,2.7212868560333447e-05,0.17634982604074945
24,XGB (Fwd),5,0.027101000275074782,0.0011539244123476289,0.16963786369544798
24,XGB (Macro+Fwd),5,0.19673886397052276,0.0003186101873557945,0.16963786369544798
24,RW,5,0.45712296687729703,3.105747504827949e-05,0.16963786369544798
24,XGB (Fwd),6,-0.04127598259342391,0.002399086080374757,0.19477328120245063
24,XGB (Macro+Fwd),6,0.15349729860902672,0.0004063361789863329,0.19477328120245063
24,RW,6,0.384941515295806,3.518387226564279e-05,0.19477328120245063
24,XGB (Fwd),7,-0.11399084289241945,0.0056875642119976755,0.22069674648443516
24,XGB (Macro+Fwd),7,0.1067059035920157,0.0008584739863652935,0.22069674648443516
24,RW,7,0.3012201349795982,5.317251619452179e-05,0.22069674648443516
24,XGB (Fwd),8,-0.17381418001037208,0.010295158968787299,0.21863705332279215
24,XGB (Macro+Fwd),8,0.044822873312420075,0.001984288996828232,0.21863705332279215
24,RW,8,0.19491028504149965,0.00010885410089023217,0.21863705332279215
24,XGB (Fwd),9,-0.21995722261682982,0.013357928769520133,0.2080697621620593
24,XGB (Macro+Fwd),9,-0.011887460454770515,0.003907803795447196,0.2080697621620593
24,RW,9,0.06888457884097243,0.00031029369039348165,0.2080697621620593
24,XGB (Fwd),10,-0.24949939923295683,0.017047057590697468,0.19004723725448414
24,XGB (Macro+Fwd),10,-0.059452161978472695,0.006490027861733472,0.19004723725448414
24,RW,10,-0.057964270204765134,0.0009413842811495376,0.19004723725448414
24,XGB (Fwd),11,-0.2790364744978733,0.020807473423457457,0.17554111837169217
24,XGB (Macro+Fwd),11,-0.1034953561261811,0.008913069829715292,0.17554111837169217
24,RW,11,-0.179145267012232,0.0027172472994686503,0.17554111837169217
36,XGB (Fwd),0,0.5180198877923403,1.738138285001245e-05,0.07409213669030223
