maturity,model,gap,r2,pval,macro_gain
24,XGB (Fwd),0,0.5374765866107207,1.4897728566332091e-05,0.08640814627726079
24,XGB (Macro+Fwd),0,0.6238847328879815,9.510242534815916e-06,0.08640814627726079
24,RW,0,0.9274681658223873,3.4763687525307674e-06,0.08640814627726079
24,XGB (Fwd),1,0.35002476557961715,5.017247969019145e-05,0.18338219244388543
24,XGB (Macro+Fwd),1,0.5334069580235026,2.5784222441260773e-05,0.18338219244388543
24,RW,1,0.8259084294976896,6.5551494722315695e-06,0.18338219244388543
24,XGB (Fwd),2,0.2417222886980389,0.0001058140048646461,0.18892391803572728
24,XGB (Macro+Fwd),2,0.4306462067337662,4.888308761319404e-05,0.18892391803572728
24,RW,2,0.7166812145522589,1.2213502696756251e-05,0.18892391803572728
24,XGB (Fwd),3,0.1496468228494896,0.00020431838235590583,0.19134771089208835
24,XGB (Macro+Fwd),3,0.34099453374157795,7.540766596236814e-05,0.19134771089208835
24,RW,3,0.615614423443122,1.965489463029435e-05,0.19134771089208835
24,XGB (Fwd),4,0.09212287920449858,0.0005310829875159184,0.17634982604074945
24,XGB (Macro+Fwd),4,0.268472705245248,0.00015070121279148196,0.17634982604074945
24,RW,4,0.5318219411580886,2.7212868560333447e-05,0.17634982604074945
24,XGB (Fwd),5,0.029524774083688143,0.0010200576914698445,0.16721408988683462
24,XGB (Macro+Fwd),5,0.19673886397052276,0.0003186101873557945,0.16721408988683462
24,RW,5,0.45712296687729703,3.105747504827949e-05,0.16721408988683462
24,XGB (Fwd),6,-0.05254639127258964,0.0022981981723503297,0.20604368988161637
24,XGB (Macro+Fwd),6,0.15349729860902672,0.0004063361789863329,0.20604368988161637
24,RW,6,0.384941515295806,3.518387226564279e-05,0.20604368988161637
24,XGB (Fwd),7,-0.11603689418725138,0.004968966544722453,0.2227427977792671
24,XGB (Macro+Fwd),7,0.1067059035920157,0.0008584739863652935,0.2227427977792671
24,RW,7,0.3012201349795982,5.317251619452179e-05,0.2227427977792671
24,XGB (Fwd),8,-0.18045374949890136,0.015420182467502652,0.221098216606483
24,XGB (Macro+Fwd),8,0.04064446710758163,0.002041125988566539,0.221098216606483
24,RW,8,0.19491028504149965,0.00010885410089023217,0.221098216606483
24,XGB (Fwd),9,-0.23760784364720045,0.022011009468440923,0.29908200308351596
24,XGB (Macro+Fwd),9,0.06147415943631551,0.0026012398604569054,0.29908200308351596
24,RW,9,0.06888457884097243,0.00031029369039348165,0.29908200308351596
24,XGB (Fwd),10,-0.29257910865180037,0.02214274151698059,0.19223390053801204
24,XGB (Macro+Fwd),10,-0.10034520811378833,0.008026019960490127,0.19223390053801204
24,RW,10,-0.057964270204765134,0.0009413842811495376,0.19223390053801204
24,XGB (Fwd),11,-0.32060405918277834,0.02597594868302333,0.2617225570479358
24,XGB (Macro+Fwd),11,-0.058881502134842556,0.008234092871460597,0.2617225570479358
24,RW,11,-0.179145267012232,0.0027172472994686503,0.2617225570479358
36,XGB (Fwd),0,0.5180198877923403,1.738138285001245e-05,0.07686220966335111
36,XGB (Macro+Fwd),0,0.5948820974556914,2.6116812129495237e-05,0.07686220966335111
