run_id,time_now,model,maturity,eval_period,eval_end,r2_oos,rsz_pvalue,dataset,start_date,end_date,revised_macro_static_X,expanding_window_realtime,frequency,gap,winsorized
20260603_093039,2026-06-03 10:00:30,L&N (2009),84,2025,2025-06-30,-1930.9343203718074,0.1280261060581267,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 10:00:30,L&N (2009) (winsor),84,2018,2018-12-31,-0.10774454512600262,0.02168130408033153,kr,1971-08-31,2025-06-30,False,True,annual,11,True
20260603_093039,2026-06-03 10:00:30,L&N (2009) (winsor),84,2025,2025-06-30,-0.13883895250482925,0.0076225360847407275,kr,1971-08-31,2025-06-30,False,True,annual,11,True
20260603_093039,2026-06-03 10:04:13,L&N (2009),120,2018,2018-12-31,-0.10407128031119117,0.020641069989866145,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 10:04:13,L&N (2009),120,2025,2025-06-30,-1623.2173137435545,0.13798169709729713,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 10:04:13,L&N (2009) (winsor),120,2018,2018-12-31,-0.09743337158616816,0.022650230183890008,kr,1971-08-31,2025-06-30,False,True,annual,11,True
20260603_093039,2026-06-03 10:04:13,L&N (2009) (winsor),120,2025,2025-06-30,-0.1226299577491119,0.008079299349382896,kr,1971-08-31,2025-06-30,False,True,annual,11,True
20260603_093039,2026-06-03 10:24:34,ElasticNet 10 forwards + macro (direct),24,2018,2018-12-31,-0.24189051540238515,0.168171881153532,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 10:24:34,ElasticNet 10 forwards + macro (direct),24,2025,2025-06-30,-0.24542329303268473,0.1651504594030342,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 10:50:22,ElasticNet 10 forwards + macro (direct),36,2018,2018-12-31,-0.20209789488075725,0.20426313275465136,kr,1971-08-31,2025-06-30,False,True,annual,11,False
