run_id,time_now,model,maturity,r2_oos,rsz_pvalue,dataset,start_date,end_date,revised_macro_static_X,expanding_window_realtime,frequency,gap,winsorized
20260602_172740,2026-06-02 17:49:46,L&N (2009),120,-1621.9986507978817,0.1379813416004687,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_172740,2026-06-02 17:49:46,L&N (2009) (winsor),120,-0.12228572343128774,0.008065158206281176,kr,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:35:51,L&N (2009),24,-2202.456176960831,0.07428440245989099,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:35:51,L&N (2009) (winsor),24,-0.18375896864264507,0.004269366157987786,lw,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:39:37,L&N (2009),36,-2107.43531544258,0.08293550867700095,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:39:37,L&N (2009) (winsor),36,-0.14719164567075826,0.0058117467360809805,lw,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:43:18,L&N (2009),48,-2246.6120497328807,0.09822765673179479,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:43:18,L&N (2009) (winsor),48,-0.14484599825230782,0.006076040419273676,lw,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:47:00,L&N (2009),60,-2209.0372044444907,0.11477153237458348,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:47:00,L&N (2009) (winsor),60,-0.13279939186309364,0.007041004834620668,lw,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:50:43,L&N (2009),84,-2019.1483766538086,0.12957005371843522,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:50:43,L&N (2009) (winsor),84,-0.13744513182514861,0.007692656987508761,lw,1971-08-31,2025-06-30,False,True,annual,11,True
20260602_193210,2026-06-02 19:54:23,L&N (2009),120,-1906.036217647047,0.13916124408156139,lw,1971-08-31,2025-06-30,False,True,annual,11,False
20260602_193210,2026-06-02 19:54:23,L&N (2009) (winsor),120,-0.13612502505932755,0.007131418841607173,lw,1971-08-31,2025-06-30,False,True,annual,11,True
